Date,Notes,Notes_clean,Prediction
02/02/2018 14:41:09,"SYS_STSR6MCJVO0K5T9K8C1FWRVE#$,.SYS_STSER9PXY6YGV$TEBP5CI80B#J,.SYS_STSROS6XI0L#ZYCV4CZF#UIJT6,.SYS_STSRIX9E23LK2#SO8$$_G5LRHS,.SYS_STSAO579DEADG78FW8_JSCHPZW,.SYS_STSQBFGL98FV8F7TOLQMID4PDT,.SYS_STS9LFWWPRSFJ203FTR6T9DLCX.of [sub]partition P20180109 of table F_MOBILE_USAGE_DLY_AGG_DETAIL.Deleted statistics for columns:.SYS_STS2VRTQ5#PD_U4O35DQWK#UJX,.SYS_STSMH#OC7$L96BQM3JHJTA1UGX.of [sub]partition P20180109 of table F_DLY_MOB_USAGE_AGG_SUM.SYS_STSNXL4XISA667#M$C7DFAXU8M,.SYS_STSELR_3R1K36P5RUJT410U39W,.SYS_STS07MUCQFD8_H7RV82G2XO9UW,.SYS_STSE4DKMJURUE17BX16XNTYPML,.SYS_STSZN6AH8OA_F3I3I95VEAD7JF,.SYS_STSM0CETZNHRLBN2OT1URO$$U$,.Deleted statistics for columns:.SYS_STSF5Z0TO1NTUGVOVC4BYQU06M,.SYS_STSZZ97TJMAO$MVYA9Q$K8WKRP,.SYS_STSXPTR_BUQKNL7RGJXDT9Y#1I,.SYS_STS_FS0F_SOOPAP4XPB56496H9,.SYS_STSE_SL87P6H9AMLSVTMKO7GJQ,.SYS_STS5N4X$97KYREX2D0CTXWJVEF,.SYS_STS6O$7V#8WOI$CN5$_9ZUOL$1,",sys sys sys sys sys sys sys table f mobile usage dly agg detail deleted statistics columns sys sys table f dly mob usage agg sum sys sys stselr sys sys sys sys deleted statistics columns sys sys sys stsxptr sys sts sys stse sys sys,Partition
05/02/2018 05:07:34,Current log# 9 seq# 31294 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727.Thread 3 advanced to log sequence 31294 (LGWR switch).Current log# 9 seq# 31294 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711,current merlp tp onlinelog group thread advanced log sequence lgwr switch current merlp tp onlinelog group,LGWR switch
04/02/2018 06:24:41,Running KSFV I/O slave Ie01 os pid=34496,running ksfv slave os,KSFV
03/02/2018 16:41:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_10402.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
03/02/2018 22:24:39,ALTER SYSTEM ARCHIVE LOG,alter system archive log,archiving disabled
02/02/2018 03:17:01,Archived Log entry 181904 added for thread 3 sequence 31030 ID 0x6d02838d dest 1:.Current log# 10 seq# 31031 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753.Thread 3 advanced to log sequence 31031 (LGWR switch).Current log# 10 seq# 31031 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739,archived log entry added thread sequence id dest current merlp tp onlinelog group thread advanced log sequence lgwr switch current merlp tp onlinelog group,LGWR switch
04/02/2018 14:11:57,Archived Log entry 330862 added for thread 3 sequence 67214 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 06:16:35,Thread 3 advanced to log sequence 31050 (LGWR switch).Current log# 9 seq# 31050 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727.Current log# 9 seq# 31050 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Archived Log entry 182026 added for thread 3 sequence 31049 ID 0x6d02838d dest 1:,thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group archived log entry added thread sequence id dest,LGWR switch
02/02/2018 06:16:33,ALTER SYSTEM ARCHIVE LOG,alter system archive log,archiving disabled
01/02/2018 09:23:41,KSFV I/O slave I601 dp=0x8269f208 exiting,ksfv slave exiting,KSFV
03/02/2018 23:25:02,Archived Log entry 330410 added for thread 3 sequence 67113 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 22:25:49,Thread 3 advanced to log sequence 67248 (LGWR switch).Current log# 6 seq# 67248 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_6.260.888832563.Current log# 6 seq# 67248 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_6.260.888832551,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
01/02/2018 20:16:25,Thread 3 advanced to log sequence 31015 (LGWR switch).Current log# 10 seq# 31015 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739.Current log# 10 seq# 31015 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753.Archived Log entry 181808 added for thread 3 sequence 31014 ID 0x6d02838d dest 1:,thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group archived log entry added thread sequence id dest,LGWR switch
01/02/2018 19:16:00,Thread 3 advanced to log sequence 31012 (LGWR switch).Current log# 11 seq# 31012 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_11.267.929538767.Current log# 11 seq# 31012 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_11.267.929538781,thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group,LGWR switch
01/02/2018 19:16:01,Archived Log entry 181791 added for thread 3 sequence 31011 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
03/02/2018 09:11:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_60691.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 08:19:02,ALTER SYSTEM ARCHIVE LOG,alter system archive log,archiving disabled
01/02/2018 08:19:04,Thread 3 advanced to log sequence 30990 (LGWR switch).Current log# 9 seq# 30990 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Current log# 9 seq# 30990 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727.Archived Log entry 181683 added for thread 3 sequence 30989 ID 0x6d02838d dest 1:,thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group archived log entry added thread sequence id dest,LGWR switch
01/02/2018 11:16:17,Current log# 12 seq# 30997 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_12.268.929538793.Thread 3 advanced to log sequence 30997 (LGWR switch).Archived Log entry 181720 added for thread 3 sequence 30996 ID 0x6d02838d dest 1:.Current log# 12 seq# 30997 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_12.268.929538807,current merlp tp onlinelog group thread advanced log sequence lgwr switch archived log entry added thread sequence id dest current merlp tp onlinelog group,LGWR switch
01/02/2018 16:40:16,"Auto-tuning: Starting background process GTX1.GTX1 started with pid=883, OS id=91019.Starting background process GTX1",auto tuning starting background process started os starting background process,Background Process
01/02/2018 21:50:54,KSFV I/O slave I801 dp=0x1dda7b0878 exiting.KSFV I/O slave I701 dp=0x1dcc160770 exiting.KSFV I/O slave I601 dp=0x1dbd8dbe30 exiting,ksfv slave exiting ksfv slave exiting ksfv slave exiting,KSFV
02/02/2018 13:08:20,Archived Log entry 329688 added for thread 3 sequence 66958 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 12:16:14,ALTER SYSTEM ARCHIVE LOG.Thread 3 advanced to log sequence 30998 (LGWR switch).Current log# 9 seq# 30998 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_9.262.929538711.Current log# 9 seq# 30998 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_9.262.929538727,alter system archive log thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group,LGWR switch
06/02/2018 05:27:25,Thread 3 advanced to log sequence 67425 (LGWR switch).Current log# 15 seq# 67425 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_15.271.908034759.Current log# 15 seq# 67425 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_15.271.908034747,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
03/02/2018 01:42:43,Current log# 10 seq# 31095 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739.Thread 3 advanced to log sequence 31095 (LGWR switch).Current log# 10 seq# 31095 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753.Archived Log entry 182269 added for thread 3 sequence 31094 ID 0x6d02838d dest 1:,current merlp tp onlinelog group thread advanced log sequence lgwr switch current merlp tp onlinelog group archived log entry added thread sequence id dest,LGWR switch
01/02/2018 15:26:18,Running KSFV I/O slave I801 os pid=61037,running ksfv slave os,KSFV
01/02/2018 09:21:32,Archived Log entry 328965 added for thread 3 sequence 66800 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 20:24:01,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_96718.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 15:20:16,Archived Log entry 329130 added for thread 3 sequence 66842 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 18:12:54,Archived Log entry 183310 added for thread 3 sequence 31263 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 18:12:53,Thread 3 advanced to log sequence 31264 (LGWR switch).Current log# 11 seq# 31264 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_11.267.929538767.Current log# 11 seq# 31264 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_11.267.929538781,thread advanced log sequence lgwr switch current merlp tp onlinelog group current merlp tp onlinelog group,LGWR switch
04/02/2018 01:02:15,Some indexes or index [sub]partitions of table QUEUEVIEW_OWNER.F_EDW_NRT_HOURLY_AGG_ACTIVITY have been marked unusable,indexes index table queueview owner f edw nrt hourly agg activity marked unusable,Index Unusable
04/02/2018 22:14:50,"Deleted statistics for columns:.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_USG_TYPE or some [sub]partitions of the index have been marked unusable.SYS_STSZZ97TJMAO$MVYA9Q$K8WKRP,.SYS_STSXPTR_BUQKNL7RGJXDT9Y#1I,.SYS_STS_FS0F_SOOPAP4XPB56496H9,.SYS_STSF5Z0TO1NTUGVOVC4BYQU06M,.SYS_STSE_SL87P6H9AMLSVTMKO7GJQ,.SYS_STS5N4X$97KYREX2D0CTXWJVEF,.SYS_STS6O$7V#8WOI$CN5$_9ZUOL$1,.SYS_STSM0CETZNHRLBN2OT1URO$$U$,.SYS_STSZN6AH8OA_F3I3I95VEAD7JF,.SYS_STSE4DKMJURUE17BX16XNTYPML,.SYS_STS07MUCQFD8_H7RV82G2XO9UW,.SYS_STSELR_3R1K36P5RUJT410U39W,.SYS_STSER9PXY6YGV$TEBP5CI80B#J,.SYS_STSR6MCJVO0K5T9K8C1FWRVE#$,.SYS_STSNXL4XISA667#M$C7DFAXU8M,.SYS_STSROS6XI0L#ZYCV4CZF#UIJT6,.SYS_STSRIX9E23LK2#SO8$$_G5LRHS,.SYS_STSAO579DEADG78FW8_JSCHPZW,.SYS_STSQBFGL98FV8F7TOLQMID4PDT,.SYS_STS9LFWWPRSFJ203FTR6T9DLCX.of [sub]partition P20180125 of table F_MOBILE_USAGE_DLY_AGG_DETAIL.Deleted statistics for columns:.SYS_STS2VRTQ5#PD_U4O35DQWK#UJX,.SYS_STSMH#OC7$L96BQM3JHJTA1UGX.of [sub]partition P20180125 of table F_DLY_MOB_USAGE_AGG_SUM.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_PROM_KEY or some [sub]partitions of the index have been marked unusable",deleted statistics columns index con dm uw mob stg idx w dly agg det usg type index marked unusable sys sys stsxptr sys sts sys sys stse sys sys sys sys sys sys sys stselr sys sys sys sys sys sys sys sys table f mobile usage dly agg detail deleted statistics columns sys sys table f dly mob usage agg sum index con dm uw mob stg idx w dly agg det prom key index marked unusable,MARK
04/02/2018 17:19:52,Index CON_DM_UW_MOB_STG.IDX_D_MOBILE_USAGE_HISTORY or some [sub]partitions of the index have been marked unusable,index con dm uw mob stg idx mobile usage history index marked unusable,Index Unusable
01/02/2018 15:43:39,Archived Log entry 329142 added for thread 3 sequence 66845 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 21:34:01,"of [sub]partition P20180122 of table F_MOBILE_USAGE_DLY_AGG_DETAIL.Deleted statistics for columns:.SYS_STSF5Z0TO1NTUGVOVC4BYQU06M,.SYS_STSZZ97TJMAO$MVYA9Q$K8WKRP,.SYS_STSXPTR_BUQKNL7RGJXDT9Y#1I,.SYS_STS_FS0F_SOOPAP4XPB56496H9,.SYS_STSE_SL87P6H9AMLSVTMKO7GJQ,.SYS_STS5N4X$97KYREX2D0CTXWJVEF,.SYS_STS6O$7V#8WOI$CN5$_9ZUOL$1,.SYS_STSM0CETZNHRLBN2OT1URO$$U$,.SYS_STSZN6AH8OA_F3I3I95VEAD7JF,.SYS_STSE4DKMJURUE17BX16XNTYPML,.SYS_STS07MUCQFD8_H7RV82G2XO9UW,.SYS_STSELR_3R1K36P5RUJT410U39W,.SYS_STSER9PXY6YGV$TEBP5CI80B#J,.SYS_STSR6MCJVO0K5T9K8C1FWRVE#$,.SYS_STSNXL4XISA667#M$C7DFAXU8M,.SYS_STSROS6XI0L#ZYCV4CZF#UIJT6,.SYS_STSRIX9E23LK2#SO8$$_G5LRHS,.SYS_STSAO579DEADG78FW8_JSCHPZW,.SYS_STSQBFGL98FV8F7TOLQMID4PDT,.SYS_STS9LFWWPRSFJ203FTR6T9DLCX",table f mobile usage dly agg detail deleted statistics columns sys sys sys stsxptr sys sts sys stse sys sys sys sys sys sys sys stselr sys sys sys sys sys sys sys sys,Partition
04/02/2018 21:34:02,"Deleted statistics for columns:.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_USG_TYPE or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_PROM_KEY or some [sub]partitions of the index have been marked unusable.of [sub]partition P20180122 of table F_DLY_MOB_USAGE_AGG_SUM.SYS_STSMH#OC7$L96BQM3JHJTA1UGX.SYS_STS2VRTQ5#PD_U4O35DQWK#UJX,",deleted statistics columns index con dm uw mob stg idx w dly agg det usg type index marked unusable index con dm uw mob stg idx w dly agg det prom key index marked unusable table f dly mob usage agg sum sys sys,Index Unusable
01/02/2018 06:44:39,Current log# 16 seq# 66778 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819.Current log# 16 seq# 66778 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Thread 3 advanced to log sequence 66778 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
05/02/2018 09:00:54,"Tracing not turned on..Time: 05-FEB-2018 09:00:54.nt OS err code: 0.nt secondary err code: 0.nt main err code: 0.ns secondary err code: 0.TNS-12564: TNS:connection refused.Tns error struct:.ns main err code: 12564.05/02/2018 09:00:54.***********************************************************************.05/02/2018 09:00:54.Fatal NI connect error 12514, connecting to:.(DESCRIPTION=(ADDRESS_LIST=(ADDRESS=(PROTOCOL=TCP)(HOST=10.9.191.142)(PORT=61910)))(CONNECT_DATA=(SERVICE_NAME=edw01)(CID=(PROGRAM=oracle)(HOST=tpl06429dat03)(USER=bea)))).05/02/2018 09:00:54.VERSION INFORMATION:.TNS for Linux: Version 12.1.0.2.0 - Production.Oracle Bequeath NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production.TCP/IP NT Protocol Adapter for Linux: Version 12.1.0.2.0 - Production",tracing turned time feb nt os err code nt secondary err code nt main err code ns secondary err code tns tns connection refused tns error struct ns main err code fatal ni connect error connecting description address list address protocoltcp connect data service cid programoracle userbea version information tns linux version production oracle bequeath nt protocol adapter linux version production tcp ip nt protocol adapter linux version production,Fatal NI
03/02/2018 10:17:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_54782.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
05/02/2018 20:24:26,Running KSFV I/O slave I601 os pid=77389,running ksfv slave os,KSFV
03/02/2018 14:12:28,Running KSFV I/O slave I601 os pid=6834,running ksfv slave os,KSFV
04/02/2018 20:30:01,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_89497.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
04/02/2018 07:13:41,Running KSFV I/O slave I601 os pid=58643,running ksfv slave os,KSFV
03/02/2018 10:17:52,Archived Log entry 330184 added for thread 3 sequence 67065 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
02/02/2018 18:56:15,Archived Log entry 329793 added for thread 3 sequence 66988 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 00:41:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_98233.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 14:26:23,Running KSFV I/O slave I601 os pid=76370,running ksfv slave os,KSFV
04/02/2018 04:13:26,Running KSFV I/O slave I601 os pid=90845,running ksfv slave os,KSFV
05/02/2018 16:35:29,KSFV I/O slave I701 dp=0x1de94d2c30 exiting,ksfv slave exiting,KSFV
01/02/2018 08:26:24,KSFV I/O slave I901 dp=0x8a86f3a0 exiting,ksfv slave exiting,KSFV
04/02/2018 18:36:01,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_89470.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
01/02/2018 04:49:00,Current log# 12 seq# 30973 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_12.268.929538793.Current log# 12 seq# 30973 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_12.268.929538807.Thread 3 advanced to log sequence 30973 (LGWR switch),current merlp tp onlinelog group current merlp tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
01/02/2018 04:49:01,Archived Log entry 181586 added for thread 3 sequence 30972 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
01/02/2018 18:27:30,Thread 3 advanced to log sequence 66858 (LGWR switch).Current log# 16 seq# 66858 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_16.272.908034805.Current log# 16 seq# 66858 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_16.272.908034819,thread advanced log sequence lgwr switch current tp onlinelog group current tp onlinelog group,LGWR switch
05/02/2018 15:07:40,Errors in file /dborafiles/admin/diag/rdbms/edw01_tp/edw01t3/trace/edw01t3_ora_44820.trc:.ORA-10173: Dynamic Sampling time-out error,errors file dborafiles admin diag rdbms tp trace ora trc ora dynamic sampling time error,Errors in file
03/02/2018 05:35:58,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_12981.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
05/02/2018 20:56:26,"SYS_STS_FS0F_SOOPAP4XPB56496H9,.SYS_STSE_SL87P6H9AMLSVTMKO7GJQ,.SYS_STSXPTR_BUQKNL7RGJXDT9Y#1I,.SYS_STSZZ97TJMAO$MVYA9Q$K8WKRP,.SYS_STSF5Z0TO1NTUGVOVC4BYQU06M,.Deleted statistics for columns:.of [sub]partition P20180203 of table F_MOBILE_USAGE_DLY_AGG_DETAIL.SYS_STS5N4X$97KYREX2D0CTXWJVEF,.SYS_STS6O$7V#8WOI$CN5$_9ZUOL$1,.SYS_STSM0CETZNHRLBN2OT1URO$$U$,.SYS_STSZN6AH8OA_F3I3I95VEAD7JF,.SYS_STSE4DKMJURUE17BX16XNTYPML,.SYS_STS07MUCQFD8_H7RV82G2XO9UW,.SYS_STSELR_3R1K36P5RUJT410U39W,.SYS_STSER9PXY6YGV$TEBP5CI80B#J,.SYS_STSR6MCJVO0K5T9K8C1FWRVE#$,.SYS_STSNXL4XISA667#M$C7DFAXU8M,.SYS_STSROS6XI0L#ZYCV4CZF#UIJT6,.SYS_STSRIX9E23LK2#SO8$$_G5LRHS,.SYS_STSAO579DEADG78FW8_JSCHPZW,.SYS_STSQBFGL98FV8F7TOLQMID4PDT,.SYS_STS9LFWWPRSFJ203FTR6T9DLCX",sys sts sys stse sys stsxptr sys sys deleted statistics columns table f mobile usage dly agg detail sys sys sys sys sys sys sys stselr sys sys sys sys sys sys sys sys,Partition
05/02/2018 20:56:27,"of [sub]partition P20180203 of table F_DLY_MOB_USAGE_AGG_SUM.SYS_STSMH#OC7$L96BQM3JHJTA1UGX.SYS_STS2VRTQ5#PD_U4O35DQWK#UJX,.Deleted statistics for columns:.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_PROM_KEY or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_MOB_STG.IDX_W_DLY_AGG_DET_USG_TYPE or some [sub]partitions of the index have been marked unusable",table f dly mob usage agg sum sys sys deleted statistics columns index con dm uw mob stg idx w dly agg det prom key index marked unusable index con dm uw mob stg idx w dly agg det usg type index marked unusable,Index Unusable
03/02/2018 19:18:47,Current log# 10 seq# 31191 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753.Archived Log entry 182880 added for thread 3 sequence 31190 ID 0x6d02838d dest 1:.Current log# 10 seq# 31191 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739.Thread 3 advanced to log sequence 31191 (LGWR switch),current merlp tp onlinelog group archived log entry added thread sequence id dest current merlp tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
04/02/2018 16:42:33,Archived Log entry 330911 added for thread 3 sequence 67228 ID 0xb052a05f dest 1:,archived log entry added thread sequence id dest,Archived Log entry
03/02/2018 05:44:01,Current log# 5 seq# 67035 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_5.259.888832539.Current log# 5 seq# 67035 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_5.259.888832527.Thread 3 advanced to log sequence 67035 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
05/02/2018 08:22:48,Running KSFV I/O slave I701 os pid=6904,running ksfv slave os,KSFV
03/02/2018 05:18:41,Current log# 10 seq# 31115 mem# 1: +REDO_DG03/MERLP_TP/ONLINELOG/group_10.261.929538753.Current log# 10 seq# 31115 mem# 0: +REDO_DG04/MERLP_TP/ONLINELOG/group_10.261.929538739.Thread 3 advanced to log sequence 31115 (LGWR switch),current merlp tp onlinelog group current merlp tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
03/02/2018 21:35:59,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_63274.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
03/02/2018 05:18:42,Archived Log entry 182396 added for thread 3 sequence 31114 ID 0x6d02838d dest 1:,archived log entry added thread sequence id dest,Archived Log entry
04/02/2018 20:18:01,"Errors in file /dborafiles/admin/diag/rdbms/merlp_tp/merlpt3/trace/merlpt3_j000_49765.trc:.ORA-12012: error on auto execute of job ""LU"".""LU_J_DEFAULT_CONSUMER"".ORA-24010: QUEUE SYS.LU_MESSAGES_Q does not exist.ORA-06512: at ""LU.LOG_UTIL_ADM"", line 560.ORA-06512: at line 1",errors file dborafiles admin diag rdbms merlp tp trace trc ora error auto execute job lu lu j default consumer ora queue sys lu messages q exist ora lu log util adm line ora line,Errors in file
05/02/2018 12:09:35,Index CON_DM_UW_STG.PK_W_D_MC_USAGE_VIEW or some [sub]partitions of the index have been marked unusable.Index CON_DM_UW_STG.IDX_W_D_MC_USE_VIEW_VDURA_ID or some [sub]partitions of the index have been marked unusable,index con dm uw stg pk w mc usage view index marked unusable index con dm uw stg idx w mc use view vdura id index marked unusable,Index Unusable
02/02/2018 03:54:49,Current log# 6 seq# 66900 mem# 0: +REDO_DG02/EDW01_TP/ONLINELOG/group_6.260.888832551.Current log# 6 seq# 66900 mem# 1: +REDO_DG01/EDW01_TP/ONLINELOG/group_6.260.888832563.Thread 3 advanced to log sequence 66900 (LGWR switch),current tp onlinelog group current tp onlinelog group thread advanced log sequence lgwr switch,LGWR switch
05/02/2018 13:14:37,ALTER SYSTEM ARCHIVE LOG,alter system archive log,archiving disabled
