"","test1","scores"
"41","nbspon my computer i am having the problem with skype that constantly pops up with a messagenbspsee attachment if image does not worknbspthe message appears whenever i try to click on a new contact on the home page or when i open the program windowsaving or opening the file does not stop the message from appearing clicking on cancel gets rid of the message but it does appear again after a whilenbspthe issue may be related to some other thingsi get a white screen issue when i use the normal skype login and the only fix that has seemed to work is the legacynbsplogin opeionnbspthe same message but with different urls is appearingnbspon the file sharing application utrrnt with its bundles pagethe computer had had some so far unresolvablenbspissues with the urlmon dll and other dll file problemsnbspsystem informationwindows  home premium x spamd a processor  gb ramskype version the computer is a custom built computer built by menbsp                                                                                                                  solved                          go to solution                                                                                                                  attachments                                                                            skypefiledownloadpng  kb",0
"42","basically i am using a turtle beach x headset for pc and when i talk into skype i can hear myself echo it isnt the other person cause i have tried with their mic muted and even their mic unplugged i can even go into test call and when i talk i can hear myself it is like the mic is picking up me talk and playing it back twice but once with a delay how do i fix this my sound is not too high i have made sure that i am using the right device turtle beach audio and i am using an amigo ii adapter to turn mic and speaker into usb i have always used the amigo ii so i dont think that is the problemnbspedit it only occurs when the call is active it does not occur when in the calling process or when not in skype can go on ts just fine without the echo it is like skype is playing back what i am saying so i can hear myself but doing it with a delay kind of like how my headset is built to be able to hear myself but instantly because it has noise cancellation hard to talk when you cant hear yourself",0
"43","okay  im newbie here but it doesnt matter i dont want to do here anything else just write off my opinion about the microsofts new skype and i hope they will read  nbsp    nbsp  this is a cropped image  of course hungarian because im hungarian but i think many of us could see this as well how this is possible the skype can not start because the system is not available  what kind of system the skype was on a pp system where is impossible that the system is not available this is why the skype was much better than the microsofts messenger then they bought it and make it wrongi found a solution for this problem this can happen if my client is not updated but it is  how does it works can we use the bleep skype how we would like to use or this time we need to find an other application like viber and using that while they not buying that as well just because that is better  nbsp  nbsp  nbsp  nbsp    edited to conform with the community guidelines  subjecttitle edited to better reflect post content",0
"44","nbspthere is no other standalone rd party alternative that still connects to the skype network that i am aware of nbsp nbspthere is the discontinued yealink bk box that is usbbased so you need to usesacrificenbspa computer for it to be standalone nbspit relies on their rd party skypemate software in order to function nbspsince its no longer being maintained or for at least that device the last version that is somewhat compatible with some crashing is skype nbspnbsp freetalk device has farednbsprather well since its simply an audiobased device nbspthrough the software changed i found greater issues with making skype to skype calls with it nbspmaking skype to phone calls has been pretty solid for me the one that i have that still works nbspthat device is a rd party device so any firmware concerns would be handled by the device maker freetalk nbsp my skype number has worked rather well nbspi really dont know what kind of priority you are expecting but i highly doubt they are going to make anynbsptype of infrastructure changes beyond how it is implemented now nbspas far as providing any feedback there are only these forums and the give feedback option in the skype client software help  give feedback nbspif you have concerns about your skype number you could also contact skype customer servicenbsp",0
"45","so i have been using skype version x for a while now when skype automaticly updated from  a while back i am very unpleased with the newer versions of skype all of my friends has also been very unpleased with the newer versions compared to  i decided today that i would try and go back to version  as i find it very superior to any other skype version only to find you have blocked anyone from signin in to older versions of skype i mean sure update the skype client and make it worse remove features and whatever you want but dont stop other users from using the version they wantnbspit seems like skype is turning worse with every update it gets the call ui is so bleep bad i dont even understand how you came up with it when im a call i can only see the people that are in the call and not the people that arent connected to the call but are in the group i cant see if a person has parked the call or not either and if i want to call a person thats not connected but are in the group there are now  clicks it was previously  thats a really bad thing to user experience and its more cluttered also if there are few persons in the call edit just tested if the portraits take up the whole height rather when i want to disconnect them from the call i need to click the red button under their portrait but the menu that pops up when i hover the call blocks it so i need to resize the call to be able to kick them its really unbelievable that skype has gotten this much worse making it more cluttered and less user friendlynbspi have not tested the latest version x or whatever it is but some of my friends have and they all say its worse than before and before anyone says i cant complain about newer versions before testing the latest i dont care i took them  years to get from the version i was on to the one i am on now and they didnt improve one single thing they just made it worse so ill doubt they made it better in any later versionsnbsptldr skype  is the best version of skype and every version after is far worse and m blocks older versions",0
"46","hinbspinbspam a long time msn messenger user ive always used skype alternatives for messenging because i didnt need the extra bitsnbspapparently this week microsoft is shutting down the legacy msn servers and i guess that soon or later we all have to go with skypenbspso ive installed skype today and i was immediately reminded of one of the reasons i dont use skype nbspit doesnt worknbspif i start skype and choose to login with a microsoft account i get an elucidating page saying this page contains errors go backnbspwell ive searched the forums and tried all the professional solutions reset ie clean temporary files update ie update skypenbspi even found this stickynbsp wonderful solutions that did not work perhaps some day someone will notice that the javascript tester page does not worknbspso i am at this pointnbsp i have a fully updated windows  pro bit i have the latest skype for windows downloaded today   even though i have this problem for many many versions before i have ie nbspi have reseted ie cleaned temporary files restarted runned login cleanup scripts added livecom to the exceptions disabled firewall disabled antivirus created desktop shortcut with the legacy option and every single suggestion ive found in any forum and nbspit still does not worknbspi have created a log file and havenbspattached here any help would be appreciatednbspthanksnbspregardsmikenbsp                                                                                                            attachments                                                                            skypezip  kb",0
"47","i really need some help getting this workingnbsphere is my errornbspproblem signatureproblem event name appcrashapplication name skypeexeapplication version application timestamp efcdfault module name cespydllfault module version fault module timestamp aexception code cexception offset cdos version locale id additional information  aeadditional information  aedbadbaeadditional information  aeadditional information  aedbadbaeread our privacy statement online the online privacy statement is not available please read our privacy statement offlinecwindowssystemenuserofflpstxtnbspi have windows  with service pack  i have the most recent version of ie this is my first time installing skype on this computer i have no video capture devices and there are no problems listed in my dxdiag i can connect with my phone but i need my computer to work for a call that is coming soon if someone can correspond with me quickly and get this resolved i would be most grateful i have searched a number of relevant articles and found no working solution",0
"48","hi anarkia and welcome to the community  nbsp  could you please upload the image instead into a new postnbsp use the insert image icon two to the right of the smile face emoticon you would click to add an emoticon in the command bar you see at the top of the box where we type the text of our posts  nbsp  please ensure uploaded images do not display personal information such as a skype account name  nbsp  please also include in your next post which web browser you are using and its versionnbsp for example i use firefox v   nbsp  thanks in advance  elaine                              was your question answered  please click on the  accept as a solution  link so everyone can quickly find what works    like a post or want to say thank you    click on the   kudos  buttontrustworthy information  brian krebs  basic rules for online safety and  consumer reports guide to internet security  online safety tip change your passwords often",0
"49","hi tony and welcome to the community  nbsp   to other skype accounts or to fixed line or mobile numbers  nbsp  first things first change your skype account password if you have not just done so  nbsp  next please type these chat commands into any open instant message chat to check that your account is not online elsewhere and in turn to disconnect open connections  nbsp        showplaces  lists other instances where this skype name is currently signed in              remotelogout  sign out all other instances except the current one this will also stop push notifications on all other instances        nbsp  definition instance  any other computer laptop tablet or mobile device where your skype account is currently signed innbsp each login is called an instance  nbsp  let us rule these things out first before looking for gnomes and winged creatures that may be the culpritsnbsp while i have read reports similar to yours the issue seemed to be caused by gasp a compromised hacked account  nbsp  regards  elaine  nbsp                              was your question answered  please click on the  accept as a solution  link so everyone can quickly find what works    like a post or want to say thank you    click on the   kudos  buttontrustworthy information  brian krebs  basic rules for online safety and  consumer reports guide to internet security  online safety tip change your passwords often",0
"50","hi guys and galsthe bad news is you can not change the public to private profilebut you can change the every thing else after you make your profile upnbspthen go back to edit change your information back to what ever you want tothe first and last name i just put my initials like the followingfirst name jlast name lgendernbsp i dont specify i changed mine back to select genderbirthday day month year i changed mine back to day month yearlanguagenbsp english i kept at english but you could leave it to add languagecity blankstate blankcountry australia i kept  so my friends had a better idea it was meemail remains privatephone number  i kept as only my friends see itevery thing else i was able to keep contacts only as i dont just let anyone into my friends list unless i trust themi first filled out all boxes then after verifieing my phone number i went back and changed it all so people did not know who i ammy user name is enough for people that want to play with me remember data error means just thatnbsp",0
"51","hi guys and galsthe bad news is you can not change the public to private profilebut you can change the every thing else after you make your profile upnbspthen go back to edit change your information back to what ever you want tothe first and last name i just put my initials like the followingfirst name jlast name lgendernbsp i dont specify i changed mine back to select genderbirthday day month year i changed mine back to day month yearlanguagenbsp english i kept at english but you could leave it to add languagecity blankstate blankcountry australia i kept  so my friends had a better idea it was meemail remains privatephone number  i kept as only my friends see itevery thing else i was able to keep contacts only as i dont just let anyone into my friends list unless i trust themi first filled out all boxes then after verifieing my phone number i went back and changed it all so people did not know who i ammy user name is enough for people that want to play with me remember data error means just thatnbsp",0
"52","here is how you fix itthe problem is if you delete skype you still have all the data on your machine when you reinstall it whatever version it draws from the data there so your stuck command which is on your machine not on skypes servers never goes awaynbspi had this happen with one person i have up on chat for business all the time he was never offline first time was on my office computer i sent  messages that showed the spinning arrows and not delivered yet yet in this case means forever anyway my skype on my phone and another instance of it on my home computer were unaffected same account  places problem was only on one computer so it was on that computer not on skypenbspto be safe if you want to uninstall then reinstall it go for it i did not sure if the combo fixed it or what do it this wayuninstall skypego to usernameappdataroaming and in that directory you will see a skype folder delete itthen reinstall skypenbspyou will have to put your username and password in again and repost your picture and the program will recreate that directory on your computer but the hung messages will be gonenbspoh and your entire history with everyone else including the person your messages got hung on will still be there",0
"53","if i begin a call and while it is still in the call setup process meaning i hear either the pseudoringback or the real ring back coming from the telco operator that im calling and i switch another application to be the forefront application skpe is not in front skype hangs up why is that its not like as though skype is trying to save me money or bandwidth usage after all if skype happens to be running but not the forefront application there is no indication whatsoever that the application is running if you have your phone show the list of running or recent applications skype will not be there its also not in your status bar often times i have been out and about away from wifi only to hear someone trying to contact me on skype and that is how i realize that all this time skype has been eating my data plan so this is really a gripe on multiple fronts the part about hanging up just because skype isnt the forefront application during call set up also its about skype basically trying to hide itself and keep me misinformed as to its running statusnbspim sure ill get all kinds of messages from people who live on this forum and cheerlead for skypems because they get gold stars or badges or maybe they even get paid by microsoft who knows but there seems to be people on this forum that jump all over anyone who has anything negative to say about skype i suppose these are people who have nothing better to do when theres not a star treknbsp convention in townnbspin any case these are real gripes about real problems that skype has i have seen nothing good happen to skype since microsoft bought itnbsp basically microsoft has done for skype what theyve done for windows which is really just abuse their position as the major player in the market knowing that people have to take whatever they dish out i so much wish someone else would hurry up with a good alternative to skype",0
"54","skype is written in simple language but it is not easy to navigate for example it will say that i have a voice message but it wont say how to find it or where it is we have to log on on two seperate pages one is for our account the other is for contacts and calling i had an old computer and it was easier to access skype functions find contacts and initiate conversations i got a new computer and now it is more complicated for some reason for example i will click on the button for leave feedback but when the box opens the cursor will not appear its just a blank box when i want to chat with friends i have to fumble around to find things because it is not specifically spelled out theres not chat button visible when i click on a contact i often find things haphazardly take facebook for example if you want to chat with a friend of leave a message all you need to do is click on that friends name and it has words that say leave a message there is also a chat icon and box right there you dont have to search around in the dark maybe skype is easy for people who are tech saavy and can just find things but for me its not simple some things are simple like post a photo use this photo change photo but other things simply are not visible",0
"55","this is a simple issue nbspone could argue that we all know this is now microsoft and we should accept that you will be forced to do as the monopoly tells you  this is their policy nbspthis thread and other threads are years old nbspsomeday there will be enough people that file complaintsnbspfor using monopolistic powers and there will be more government investigations finally regulations and slaps on the wrist and there will be check boxes nbspuntil that ice cube melts there could be lawsuits and other legal options class action but frankly skype does as skype wants and says screw you the customer nbspface it a simple fact skype  microsoftnbspwhy nbspsimple first image yes we know how to do a checkboxnbspsecond image we know how to make you do what we want and dont care about your choiceskeywords nbspmicrosoft service agreementnbspnow for those that want to fix the bugnbsp nbspthis is a fix malware link normally used to fix what bad companies do that take control of your system you know the lowest of the low the hackers the scum of the earth  the bad guysnbspthe link fixes the bug in the update process of skype that could confuse users into regrouping this company with other groups listed above which of course could only happen as a result of this bug nbspyou know the one that hasnt been fixed in years nbspjust using google i will never use bing ever ice cube in hell melt down ill use books before using bing taking the hours needed to go to a library nbspback to point i have millions of hits that will equate taking control of anothers computer in those termsnbspdefense you have none nbspwell to admit your programmers cant fix a checkbox bug in yearsnbspactually i think the best direction is to get a network news organization interested in hacking and introduce how this is happening with products like skype nbspthe failure to fix bugs for years nbsp then gets our pals in government involved no not the us but the eu nbspim sure the bullies remember how fast and with force the eu hit home nbspill be in europe next month ill drop this idea with some of my contacts nbspmaybe get the bbc to ask some questions run a story nbspmaybe the french nbspa tidbit in the right ear nbspafter all the news of us hacking hum nbsplets get the ball rolling nbspnews nbspthis is news nbspmonopolies only exist if we the people allow them nbspwell with the help of our friends in the eu nbspwe will get a checkbox nbspno we will not settle for less than  nbsphomepage theft and forced bing must be stoppednbspi’m tired of stupiditybtw yes i did the update and fixed the bug in a minute nbspwhy i provided the link above nbspwith  years as an it consultant many years with fortune  companies this is an easy fixnbsp however this isn’t about fixing a system it is about who controls your system and why they dont put up  checkboxes nbsparrogancenbsphas ms and skype become this hard up that they have to force bing and msn on their users nbspit seems so nbspfor years sad very sadnbsp",0
"56","i cant believe you make it this difficult and complicated to switch to a new account nbspyour advice to people on other posts if they have an old account and want a different name is to set up a new account nbspive done so and every time i open skype it defaults to the old account nbspi cant make it switch to the new account nbspthis is far too complicated and frustrating nbspthe only reason i am using this on my mac is because my work group uses skype nbspi have factime on my mac and it is far far easier to use and switch users nbspif i type switch to new account in the help search bar nothing helpful comes up except for a lot of geek speak most of which makes little or no sense to me nbspi want to be a user not a code writer get it nbsphow do i switch accounts on my mac so that im using the new skype account i just set up  nbsp  nbsp  nbsp  nbsp  nbsp  this post was transferred from its previous location to create its own new topic here its subject andor title has been edited to differentiate the post from other inquiries and to reflect the posts content",0
"57","globalquestion wrote  nbsphow can i get the  refund on the brand new skype number    hello and welcome to the skype community  if you purchased the skype number before the unlimited world subscription the system would have no way of telling that you intended subsequently to purchase the calling subscription please contact skype customer servicenbspwho may arrange for you to cancel and repurchase the same number thereby qualifying you for a  discount  for a  month number contact and  for a  month contact your account shows that you have contracted for  months  see below for details                                time zone  us eastern  location  philadelphia pa usai recommend that you always run the latest skype version windows amp macif my advice helped to fix your issue please mark it as a solution to help othersplease note that i generally dont respond to unsolicited private messages thank you",0
"58","would you prefer that they removed the x and just kept the two others skype and may other programs designed to run in systray ms outlook blizzards battlenet app steam client ms skydrive spotify nvidia geeforce experience ati ccc most anti virus software and litterallly hundred more programs work like thisnbspthe minimize button minimizes taskbar  bahh the smalllarge view button does exactly that and the x sends to tray skype is allways in tray so rightclick quit is the proper way unless using menus to closenbspskype and the above mentioned programsnbspthis is not new nor spesific to skype it takes about  seconds to learn allthough many apps have options for quit behaviour skype does have quit in the menu aswell that actually means quit skype does notnbspas for the last posters second issue the buttons does not work have had a lot of attension here a search should give you a fair chance of finding a fix seem to be gone in  thoughnbsptry to run skype as administrator no youre not administrator shiftrightclick the skype shortcut choose run as administrator this has been a working workaround for the call buttons not respondingnbsphave you tried using shortcut keys for answering",0
"59","what he was talking about was setting it to run as administrator in the shortcutexecutable as you should know that would run the application in a true administrator mode like windows xp vs the default crippled administrators group in windows nbspi personally have not had to do this since i have not run into the issue but for those that have people claimed it has helpedresolved the issue nbspin regards to following ui interaction rules it does as it actually closes the form nbsp nbspskype doesnt send an additional closure to the resident system tray icon form because its a memory resident communication program nbspsome programs give you that option others dont nbspnbspgeforce experience is one of the latest programs i use that doesnt nbspnobody forces anything on you nbspif you feel your family is forcing something on you you always have the option of forcing something on them or suggesting another method you prefer nbspin order to stay in contact with you nbspin the end thats a family issue not a skype onenbspif you want to close skype down in one click you can do so using the provided shortcuts in the following thread nbspyou can also assign those shortcuts hotkeys or assign them to a key on your keypboardmouse using additional key mapping software to completelynbspclose skype with the press of a single buttonnbsp",0
"60","i log in to my microsoft account on windows  usually skype will just automatically connect nbsprecently it will say cant sign in please type in your password and it pops up my microsoft account information as log in name and then i type in the same exact password i just used seconds ago to sign into my computer and it says cant sign in nbspthen i have to go to livelogin and change my password nbspi have done this more than a handful of times in the past month nbspit happens on my computer and also on my phone nbspnbspas soon as i change my password i go to my skype type it in and it works fine nbspi am pretty sure the problem is with skype and not my microsoft account because i can still log in to my computer and my hotmail just finenbspi am tired of having to change my password all of the time it happens at least once a week nbspit is particularly annoying say when on my lunch break i would like to just call my boyfriend overseas but since skype cant recognize my password even though it hasnt been changed and it is usually always automatically connected i have to go to change my password which includes me accessing an alternative email and typing in a code and blah bla hblah from my phone nbspnbspwhat gives ",0
"61","i use multiple monitors and need to use another program to make good use of them i use a simple freeware program to lock the cursor to the screen unoless a button is pressed and it only offersnbspone shortcut ctrl for jumping between screens this program is always running so if i jump from one screen to the next and immediately go to type in skype it types an accented letter likenbspà ornbspè since it shares this shortcut with skype the problem is that it simply wont type any other nonaccented version letters on the first press so i just end up skipping the first letter completely most of the time there seems to be no way to change this shortcut on skype under the options so im wondering if there is another way to get around this outside of switching mouse control programs which ive tried but have had little luck with finding something as good                                                                                                                  solved                          go to solution",0
"62","helloi have purchased a windows tablet which has office  subscrption including skype  minutesi live in germanynbspi could not see these free minutes under services and products in my microsoft accountnbspthe faq for the tablet saysnbspthe basic prerequisite for using the skype minutes included in your office  personal package is that your office package has been activated see operating instructions once you have activated your office package proceed as followsa go to  and click or tap “my account” in the topright areab on the following page sign in with the microsoft account that you linked to your surftab wintron tablet when setting it up it is extremely important that you sign in with the same microsoft account that is linked on the surftabc an overview of your microsoft account opens in the “services and products” section under “skype” click or tap “activate your skype world minutes”d on the following page you can choose whether to create a new skype account or link an existing skype account with your microsoft account in order to use the free  minutes on your existing account select the desired option and click or tap “create skype account” to create a new account or “activate” to link your existing skype accountnbspnbspbut i dont have that optionnbspplease helpthanks",0
"63","lillyth wrotei have the same problems with skype after logging in just checking on my list and about a minute later i get the communication window that skype stopped working here are the problem detailsnbspproblem signatureproblem event name bexapplication name skypeexeapplication version application timestamp efcdfault module name ltcgamedllunloadedfault module version fault module timestamp efadeexception offset feeexception code cexception dataampcolon os version locale id additional information  dfadditional information  dfefccecabeadditional information  bafadditional information  bafbdedcfaceebcffdenbspalso can provide a dxdiag if neccessary the video card driver is up to dat latest version also so i just cant figure what can be the problem maybe just my mistakeplease help and thank you in advancelillythuninstall raptr ingame overlay application most likely this application conflicts with skype",0
"64","hiin my case during the installation i saw only part of the second checkbox i cannot even say i could uncheck t i did not make screenshot i trusted microsoft to be better safe then sorry and not precheck unwanted installation agreement for me ok now i am sorry and i really hate to say that ms is going very low with such behavior it is probably some manager will get bonus for every thousand of istalations of this crappy swthe point is you should not presume agreement with anything called active disagreement your search engine and your msn stuff is irrelevant in most parts of the world it contains bluff useless information the search results apply to peopla in california but not berlin this is the reason i cannot use it on windows phone either so the search button one of the three on wp hw is completely useless only two usefull remain  how do you fix this i need uninstaller it is not even present in installed programs and i bet it will not uninstall if i uninstall skype which i like to usenbspso what microsoft do about this bloatware unwanted software will take the responsibility for buying and developing skypenbspnbsp",0
"65","hi c and welcome to the community  nbsp  skype does not permit the transfer of credit subscriptions or features from one account to anothernbsp cancel or request a refund of credit on an account you do not wish to use it and purchase new credit and subscriptions for the account where you will use it  nbsp  that said just to add a note of clarification i trust you know that you can use the same skype account on any platform or operating system where skype is availablenbsp a skype account can travel with you if you sign on from computer or a mobile device  nbsp  regards  elaine                              was your question answered  please click on the  accept as a solution  link so everyone can quickly find what works    like a post or want to say thank you    click on the   kudos  buttontrustworthy information  brian krebs  basic rules for online safety and  consumer reports guide to internet security  online safety tip change your passwords often",0
"66","hi theemperor and welcome to the community  nbsp  this faq article provides next steps    nbsp  please see the section titled hacked accountsnbsp please also sign on to your skype account dashboard to ensure that your accounts registered email address is correct and accuratenbsp change your account password if you have not already done so  the easiest way to accomplish this is from within the software or appnbsp in the windows desktop version its skype gt change password  nbsp  you will be directed to contact skype customer service for assistancenbsp these tips may be helpful as skype is experiencing continuing problems with the websitesnbspnbsp if you experience difficulty reaching skype customer service or find yourself redirected back to the community please try again using a different web browser and choosing a different path through the various dropdown menu options presentedalso look to approve a popup dialogue box which would connect you to start an instant message chat with a customer service agent if you have popups blocked in your browser settings this will also block reaching an agentlast and not least when you reach the last step of the process remember to click on the start chat link when you are provided the choice of visiting the community or starting an instant message chat with a customer service agentregardselaine                              was your question answered  please click on the  accept as a solution  link so everyone can quickly find what works    like a post or want to say thank you    click on the   kudos  buttontrustworthy information  brian krebs  basic rules for online safety and  consumer reports guide to internet security  online safety tip change your passwords often",0
"67","i have a problem with skype on my android tablet when i make a video or voice call it kept idle as skype blue colour and no responsemy tablet details arebrand iball slidemodel g qandroid version kernel version iball slide nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp jenkinswhcis nbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp mon mar   cst build number iballslidepibdjbmrnbspi have tried so many things like installing older versions of skype and update the tablet firmwarenothing progressfinally i installed catloglog reader and get log filei have attached the log file kindly find the file attachmenti hope someone has help me to solve this issuenbspregardsarun dayalane                                                                                                            attachments                                                                            logcatanddeviceinfozip  kb",0
"68","hello peoplenbsp i am loving skype but i have an issuenbsprecently a user with malicious intent entered one of the group conversations im in on skype this user then proceeded to copy all the usernames of this groups membersnbspnbspthis user has programmed a bot that sends out those skype usernames on a site called omegle this has resulted in loads of unwanted contact requests for all people involved and it is rather frustratingnbspnbspi can provide the username of this user if required but have decided against posting it in this thread because of privacy concernsnbspnbspi was wondering if any steps could be taken to eliminate this issue unfortunately i am aware that this problem may be out of skypes reach i have also sent an email to omegle in an attempt to solve this problemnbspnbspthank you for taking the time to read this and i hope to hear back i am receiving dozens of contact requests per day from people who do not know what is going onnbspsincerelynbspmick",0
"69","recently we got an appcrash issue on skype v but it keeps crash even though we upgrade to version vnbsphere is the error messagefaulting application name skypeexe version  time stamp xefcdfaulting module name skypeexe version  time stamp xefcdexception code xcfault offset xfaulting process id xebcfaulting application start time xdfdbefcfaulting application path eskypephoneskypeexefaulting module path eskypephoneskypeexereport id bfccbceacebeefault bucket removed for privacy type event name appcrashresponse not availablecab id problem signaturep skypeexep p efcdp skypeexep p efcdp cp ppnbspthe attachement is the dxdiag report under win modenbspplease help us out thanks                                                                                                                  solved                          go to solution                                                                                                                  attachments                                                                            dxdiagzip  kb",0
"70","hello everyonei am struggling to get my skype account back but i havent managed so fari will try to be as specific as possiblefirst of all i have linked my skype account with my microsoft idsome time ago having the wrong impression that i dont need skype account since i have connected a microsoft id i filled the form for account releasea few days later my skype account was locked due to suspicious activity i figured out that this had to do with the form i filled ini tryed to recover the account using the recover form but the account is too old and it is impossible for me to remember when i created it or these kind of detailsadditionally when i choose the forget my password option in sign in page i always get an email that skype need a few more details to complete the account release processi dont want to release my account i want to recover iti have completed the recover account form many times with no luckafter being unable to recover the account i decided to create a new onei then asked from skype support to unlink my microsoft id from the previous account so that i can link it to my new accountsupport team refuses to unlink it and they tell my that i have to verify skype account firsti wonder how this is possiblelets assume that skype account isnt mine and i cannot verify itmicrosoft id is mine and i can verify ithow is it possible that skype support denies to unlink iti ask my microsoft id to be unlinked from a skype account that is not even mine since i cannot verify itisnt it logical that i ask it to be unlinkedi have exchanged so many emails with the support but i still havent managed to figure it outcan a representative from the support please answer me why skype refuses to unlink my microsoft idthank you in advance",0
"71","even with the headset unplugged it crashesnbspthis was never an issue before updating to  two days ago the only speakers plugged into this rig are the headset speakersnbsp skype now autosigns in on this desktop whereas before i had it set to manually sign in each time because there are  different users on this computernbsp i was able to hit the signout just before it crashed then upon opening it signs in to the same account again how would we ever swap accounts to sign in to if it does this automatically which was not the settings it was on before the update i was just able to signout fast enough to avoid the crash and the login screen showed up this allowed me to uncheck sign me in when skype starts as i ran it beforenbsppoint being this update defaulted crap that i didnt have setup rather than accepting my settings with the updatenbspyou told me to update realtek drivers yet they were never the problem before skype and my computer ran perfectly  days ago but i went to my mobo website and did as you suggested and skype worked one time that is it worked until the next restartnbspim trying to give as much detail as possible but ive never had so many issues updating any program ever id love to find an older version and see if these issues are still there or notnbspive included another dxdiag which shows plantronics rig as default but it still crashesnbspnbsp                                                                                                            attachments                                                                            dxdiagzip  kb",0
"72","the fact that dxdiag is crashing has nothing to do with skype but skype will not run with defect systemnbspdxdiag previously crashed in system information stage  amp directd stage  amp directsound stage  amp directinput stage  amp directshow stage  rerunning dxdiag with dontskip command line parameter or choosing not to bypass information gathering when prompted might result in dxdiag successfully obtaining this informationnbspi still dont see any default sound devices set in the diagnostics filenbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description headset earphone plantronics rignbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description speakers realtek high definition audionbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description vs  nvidia high definition audionbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description realtek digital output realtek high definition audionbspdefault sound playback nonbspdefault voice playback nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description headset microphone plantronics rignbsp default sound capture nonbsp default voice capture nonbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbspnbsp description desktop microphone  cinema  microsoft lifecamnbsp default sound capture nonbsp default voice capture nonbspwhat do you see in windows sound control panel gt recording amp playback devices",0
"73","id rather like to see options added to skype on how you want skype to look and what functions you want to have active  nbsp  nbsp  the way it looks on x isnt so bad whats bad about it is the idiotic word correction functionnbspthat doesnt work as it should when talking with some one and one type something like i dont know who he was or why he hit that archer the text becomes i dont know who he was or why he hit that archer it seemes to treat who as an abbreviation for world health orginization and some words like the word artcher as names and automatically put a capital letter at the start of the word this function is very badly made  nbsp  also to get bold text you write it between two  instead of using the normal b  b  whitch i find just as idiotic as the word correction function on the new skype  is often used for emotes in converzations like poke you still there  nbsp  after seeing how skype x was i uninstalled skype and reinstalled it as a x version of it that i downloaded from a different site and set it up so that it wont try to update  nbsp  the new x version of skype is very badly and seemingly hastely made with little or no thought to what options the users should have for itnbsp  nbsp  nbsp  nbsp  nbsp  this post was transferred from its previous location to create its own new topic here its subject andor title has been edited to differentiate the post from other inquiries and to reflect the posts content a link to this post appears where the post was originally added",0
"74","the link i gave you was right off their server nbspsince its no longer marketed its probably eol and its abilitynbspto connect to the skype network is unknownnbspinbspdont foresee newernbspdevices being certified any time soon nbspexisting devices seem more grandfathered than anything nbspit would appearnbspthat microsofts goal for skype is to maintain a certain branding look and constant revenue stream nbsprd party development inhibits or deflects that vision nbspso that leaves either inhouse development a future redesign of rd party development that meets theirnbspnewer vision or explicit contracts on a casebycase basisnbspyou only need to log into your account once nbsponce you do that it auto signs in every time the device is power cycledrebooted and stays logged in as long as your internet connection is up nbspthe web interface will only allow you to sign into that account nbspif you actually have to switch skype accounts you need to force reload the boxnbsp",1
"75","i have been having issues with skype after version  i have tried every version and all the ones after that have random freezing issues even the latest onenbsp when people message me it justfreezes sometimes for a second other times it totally freezes everything and i have to force rebooti am running a fast windows   bit computeri have reinstalled a zillion timesnbsp my graphics drivers direct x and windows are up to date as is ienbsp i have no antivirus in the way and windows firewall lets skype throughnbsp i have attached my dxdiag file for help to try and find what the hell is making skype randomly freeze up my computernbsp dnbsp because i am at a loss and dont know what to donbsp arg this is so frustrating also know i dont want to delete my chat history like as in on the server that stuff is important to me thanks                                                                                                            attachments                                                                            dxdiagzip  kb",0
