"","text","emotion","polarity"
"83","after couple of minutes using skype i got blue screen saying nbspbadpoolheader critical   kernelpower   i have this error only while using skypenbspnbspnbsplog name systemsource microsoftwindowskernelpowerdate  event id task category level criticalkeywords user systemcomputer minintbujcsdescriptionthe system has rebooted without cleanly shutting down first this error could be caused if the system stopped responding crashed or lost power unexpectedlyevent xmlltevent xmlns namemicrosoftwindowskernelpower guidcbacacecdb gtlteventidgtlteventidgtltversiongtltversiongtltlevelgtltlevelgtlttaskgtlttaskgtltopcodegtltopcodegtltkeywordsgtxltkeywordsgtlttimecreated systemtimetz gtlteventrecordidgtlteventrecordidgtltcorrelation gtltexecution processid threadid gtltchannelgtsystemltchannelgtltcomputergtminintbujcsltcomputergtltsecurity userids gtltsystemgtlteventdatagtltdata namebugcheckcodegtltdatagtltdata namebugcheckparametergtxltdatagtltdata namebugcheckparametergtxfffffaealtdatagtltdata namebugcheckparametergtxltdatagtltdata namebugcheckparametergtxltdatagtltdata namesleepinprogressgtfalseltdatagtltdata namepowerbuttontimestampgtltdatagtlteventdatagtlteventgt                                                                                                                  solved                          go to solution                                                                                                                  attachments                                                                            errorspng  kb","sadness","negative"
"84","my account has been hacked they have changed my password primary contact address the currency and my id nameall there are two pieces of advice i am getting from skype  fill in the online form so they can verify who i amnbsp there are  questions in the form one of which is which month and year did you start your accountnbsp who knows that if you call a bank a raise a security issue theynbspcancel your cardnbsp why wont skype freeze my account until this has been resolved the hackers have stolen my identity and can pass themselves off as me and commit more fraud by contacting my contactsnbsp they cannbspsolicit all sorts of information from them pretending to be me i cannot successfully fill in all the answers to the form and that is it no other optionnbsp skype ironically cannot call me to discuss the issue there is no online chat facilitynbsp the only help i have is thenbspconstant loop of fill in the impossible form i was originally told to fill the in the form as many times as i needed to until i get the answers rightnbsp i have since been told that if i make more than  incorrect submissions my account isnbspirrevocablynbspirretrievable the second advise is to open a new account and forget about the other accountnbsp but this is fraud they have access to my personal data and they have stolen my identityi am shocked that there is not an immediate response to my issue and that i have had to beg for some help and still i have noneif someone comes on here and tells me to fill in the form with data from over  years ago dont                                                                                                                  solved                          go to solution","sadness","negative"
"85","i recently noticed that since updating my skype on windows  that whenever a call is ended the call finished icon stays even if ive turned off my computer for  hours come back on and signed into skype its really frustrating because its starting to clog up my recent conversations and i only use skype to talk to my fiance and my sister dailynbsphere is a screenshot attached so you know what i mean does anyone know how to fix it i have tried clicking hide conversation but it doesnt do anything its becoming tedious to look at and i really want it to go back to how it used to be where the call ended icon would disappear after a few seconds of the call being actually you know ended dont worry the screenshot of the people arent actually their skype names ive renamed them on my contact list anyway so it doesnt show up their full names or skype namesnbspnbspthanks in advancenbspnbsp                                                                                                            attachments                                                                            callswontgoawaypng  kb","anger","negative"
"88"," about six months ago skype locked me account of my account because they claimed that they could not verify who i wasnbsp since i was no longer able to access the account i turn off the subscription in paypalnbsp now that billing time has come around for about two weeks i have been receiving a daily email telling me that they could not process my paymentnbsp uhhhh no duhnbsp im not going to pay for an account im locked outnbsp the email claimed that action needed to be taken but i was locked outnbsp aggravated from the incessant daily emails i decided to try to get my account reinstated and it appears i have succeeded in thatnbsp however when i try to clear out the reference to the bad account it tells me i first need to cancel my subscriptionnbsp the main screen still say my subscription is suspended with a link that says reactivate which asks for more money from the bad paypal accountnbsp there are no phone numbers to call where i can speak to a human to straighten this outnbspthis is absolutely ridiculous and a complete messnbsp all of these problems started when microsoft took overnbsp theyve turn my  plus years with skype into a complete messnbsp please sell the company to competent people who care","joy","negative"
"91","i actually got  differentnbspheavy problems with skype starting today with nothing changed on my computernbsp  i am shown online but everyone is offline i cant message anybody the message has the sending rotating circle icon next to it all the timenbsp when i call someone i hear no dooot sound and i cant hang up skype it stuck in the dialling process forevernbsp i cant completely quit skype when i quit it via the taskbar shortcut rightclick gt quit theres still a skype offline logo left that is neither left nor rightclickablenbsp a process stays forever in the ctrlaltdelete processes window it cant be closed manually and takes up quite a lot of memory and cpunbsp when i start skype after that i cant log in because skype tells me that im already logged in on this computer asks my password which it normally shouldnt gt auto sign in when i type it in it still wont connectonly after restarting the computer i get another shot to start skype and login but the same crap happens againi tried lots of different tricks i deleted the skype folder in appdata i deleted the skype folder in temp i uninstalled skype restarted the computer and reinstalled also deleted all the folders i mentioned above i did all that stuff in windows safe modenbspnbspnothing works skype keeps being broken and ive already wasted an entire workday trying to fix a program that i need for work if anyone knows whats the problem here please help me im losing my mind about thisnbspthanks in advance guys","sadness","negative"
"95","after the latest skype upgradenbspthis morning all of the system application icons that i pinned to the taskbar were rendered with a default not found image and no longer function when clicked i then went to the program folders  accessories folder from the start menu and some the pinned onesnbspwere defaulted and nonfunctional there as well explorer still launched normally from the base windows folder so it was only the shortcuts and pinned copies of the shortcuts that were negatively affected by the skype upgrade i rebooted but the icons remained inactive withnbspdefaulted image i then uninstalled skype main program and the click to call add during the install and the the icons returned to normal operation downloaded the latest from the skype website and reinstalled this time no click to call icons image and functionality became inactive again uninstalled one more time and this time the pinned icons that were showing as disconnected were removed from the taksbar by the skype uninstallnbspaccessories versions of them were functioning normally and required a manual repinning to the taskbar so  the new install has issues on both installs i unchecked the two selections for bing as my home page and bing desktopnbspinstall could be skpyems getting mad that i did not take their tech for granted but i just dont like bing that may be part of my issue curious to hear if aynone has similar issues make sure you check you accessories folder in the start programs                                                                                                                  solved                          go to solution","anger","neutral"
"100","marvipirani wrotelog name application source application error date   pm event id  task category  level error keywords classic user na computer hp description faulting application name skypeexe version  time stamp xadd faulting module name unknown version  time stamp x exception code xc fault offset x faulting process id xf faulting application start time xdbeade faulting application path cprogram files xskypephoneskypeexe faulting module path unknown report id fcddecabbbc faulting package full name faulting packagerelative application id event xml    x  application hp skypeexe  add unknown   c  f dbeade cprogram files xskypephoneskypeexe unknown fcddecabbbctry first to update your skype to the currently latest  versionnbsp","unknown","negative"
"102","hi all two hours ago i needed to make a ten minute phone call within the uk usingnbspskype this call was to an existing contacts telehone number who i have phoned several hundred times over the years a business phone and not a mobile from the uk to the uknbsphow difficult can that benbspwell i fired up skype up popped a banner screen telling me that skype microsoft are improving my experiencenbsp yet again nbspno question about now or later it was already in progress they do this virtually evely time i sign on which used to be daily but now i tend to use fring in order to preserve my sanitynbspok so off we went through the install sequence nbspmy call looked to be a long way in the future how right i wasnbspi decided not to install bing on the basis that nbsp nbsp nbspi am not american and so its results are of little interest to menbsp nbsp nbspi prefer googlenbsp nbsp nbspi detest being pestered by install routinesnbsp nbsp nbspi am intelligent enough to install it myself if i want itnbspi also decided not to install msn as my home page on the basis that nbsp nbsp nbspi am not american and so its results are of little interest to menbsp nbsp nbspi prefernbspto choose my own home pagenbsp nbsp nbspi detest being pestered by install routinesnbsp nbsp nbspi am intelligent enough to set it as homenbspmyself if i want tonbsp nbsp nbspi am over  years old so i can think for myself and i have zero interest in american football and life in the usa in general seeing as how i live in the united kingdomnbsp so on we went it eventually finished and next up popped a screen asking me as it does with every ïmprovement whether i wanted to sign in with my skype account or my microsoft one funnily enough they do not store my skype decision and continue to ask the question every time i cannot imagine whynbspso i took the skype choice and then entered my skype id and my correct password then waited and waited and waited and waited and waited and waited zzzzzzzzzzzzzz fifteen minutes passednbspeventually my old pal task manager had to be called up and nbspwithin a mere five minutes had managed to do what i could not and get rid of skype not completely of course it needs a nuclear scientist to do thatnbspi really wanted to make my call so i started skype again and logged in  it worked i made my call which was robotic and constantly interrupted nbspsince my broadband speed is ony mbps i can see how this would cause a problem for skype so my problem cannot possible be microsofts faultnbspnbspmy call recipient asked me why he was seeing a german number as my caller id this was genuinely my error because i needed to change to my new uk mobile so off i went to change itnbspfour times i entered my new phone number four times i received the sms with the validation id on the correct phone four times i entered the new confirmation id  correctly four times it was rejectednbspon the fifth attempt i was refuses the ability to verify my number obviously my fault it could not possibly be microsoftnbspmy serious question is  how many more of these improvements to our experience must there be be fore we can make simple skype to phone and skype to skype calls without all of this rubbish and when willl the web site work properlynbspnbsp","joy","negative"
"103","i have been battling skype for over a year on overcharges related to my skype telephone number subscription and frankly i am sick to death of the overcharges inability to modify my subscription the incompetence of the online chat tech support professionals and complete and utter unwillingness to respond to legitimate concerns about overcharges on my account and the need to have credit issued back to me and my account brought up to the subscription program i choose to purchase skype has absolutely no customer service whatsoever through email bulletin boards online chat and after over a dozens of tweets directed at twitter accounts skype skypesupport and microsoft over many months with no replies i am absolutely sick to death and disgusted with skype and microsoft its people and services i demand that these problems be resolve my account credited for the last two skype number subscription charges and i be allowed to upgrade my skype telephone number subscription to the extended subscription plan of my choosing and not be forced into purchasing subscription plans that i do not want or need i expect someone from skype to resolve this issue immediately today march   as i have been after skype to correct these ongoing issues for a year to no avail signedchristopher buttner president removed for privacy","disgust","negative"
"107","i couldnt find the edit button   ive succesfully found the problem causing it however since i cant debug the skype app i am unable to find a solution as of yetnbspmy culprit was vagrant everytime i boot up a vagrant instance of a vm which is whenever i turn on my computer i get dropped out of skype ive tested this as far as starting a vagrant during a skype call the call doesnt drop it kinda stutters but i am logged out of skype immediatelynbspthe things vagrant does are logged herenbspgt vagrantinstance attempting graceful shutdown of vm  gt vagrantinstance clearing any previously set forwarded ports  gt vagrantinstance clearing any previously set network interfaces  gt vagrantinstance preparing network interfaces based on configuration      vagrantinstance adapter  nat      vagrantinstance adapter  hostonly  vagrantfileapiversion    gt vagrantinstance forwarding ports      vagrantinstance  gt  adapter       vagrantinstance  gt  adapter       vagrantinstance  gt  adapter       vagrantinstance  gt  adapter       vagrantinstance  gt  adapter   gt vagrantinstance booting vm  gt vagrantinstance waiting for machine to boot this may take a few minutes      vagrantinstance ssh address       vagrantinstance ssh username vagrant      vagrantinstance ssh auth method private key      vagrantinstance warning connection timeout retrying  gt vagrantinstance machine booted and ready  gt vagrantinstance checking for guest additions in vm  gt vagrantinstance configuring and enabling network interfaces  gt vagrantinstance exporting nfs shared folders  gt vagrantinstance preparing to edit etcexports administrator privileges will be required  gt vagrantinstance mounting nfs shared folders  gt vagrantinstance machine already provisioned run vagrant provision or use the provision  gt vagrantinstance to force provisioning provisioners marked to run always will still runnbspi suspect there is a port misalignment however the ports ive specified should not conflict with skype afaik","disgust","negative"
"109","i just found something very suspicious about skype behavior to smsnbsplong ago i put in my skype number for my google email password recovery and verification google used to send the verification codes in voice mail or sms now google seems to have switched off the voice mail they are sending verification in sms only now because the phone number i put in for verification is a skype number and because skype cannot receive sms the verification process failed i tried to set my skype to forward sms messages to a mobile phonenbspinterestingly i received skypes own verficiation sms sent to mobile phone but i cannot receive googles verification sms sent to the same skype number which skype should theoretically forward to mobile but i waited and waited and nothing came through i suspect skype is deliberately blocking sms messages from google please tell me you are not doing that and its just a technical problem now i stand to lose one of my google accounts because skype doesnt receive  forward sms messages as advertisednbsp nbsp","joy","negative"
"112","i have been using skype for about two years now without having any issues lasnbspfriday though i got this email that my skype password was changednbspi couldnt do anything at the moment since i was awaynbspthe next morning when inbspgot back home and logged into my skype account i always log in with my microsoft account never with my skype id i noticed that all my account details were changed  name email hometown picture birth date etc also my hole contact list was completely changed figuring that i got hacked i went back to the email i got which adviced me to fill in the account verification form in order to report security issues with my account  i filled all the information in and then i waited for a responsenbspbut during the day chat windows started to pop up  i was talking to my contacts from another device but judging from the conversation i figured i didnt get hacked i actually logged into somebody elses account did my microsoft account get somehow relinked to someone elses accountnbspsunday morning i managed to contact skype support on their dedicated chat system and i described the hole thing the consultat promised that they would look into it as it was a very strange issue and told me to fill in the account verification form once more which i didnbspnow each day inbsphave beennbspgetting emails from skype support that they couldnt process the information they got for me and to fill in the account verification form and resubmit itnbspi have already submited the form five times nownbspcould i have some advice pleasenbsp","sadness","neutral"
"114","my question is if there is a way to continue calling without using skype credit after using up all minutes of subscriptions is there anynbspheres my situationi purchased a monthly subscription and the service started  i used up all the  minutes on  with an intension of starting anbspnew subscription that would start  i first cancelled the existing subscription that started on  andnbspwas scheduled to renew on  and received an email confirmation for that then i got a new subscription for the same country and for the same duration which is one month as the initial one and confirmed that it was charged on my paypal account i also received an email notification for the subscription delivery it said the transaction date was nbspso i thought i could start calling on nbsptoday is  and i still cant callnbspi checked my account and to my surprisenbspit has been updated to show thatnbspmynbspinitial subscription is back that is the one that starts on the th of the month and the current remaining minutes shows as  zero it tells me that inbspwill be able to start calling onnbsp it appears that my attempt to cancel one subscription and get a new one with a new start date did not work since the initial one appears to keep coming backnbspisnt it possible to cancel an existing subscription completely and sign up a new one with a new start datenbsp im trying not to purchase skype credit together with subscriptionsnbspthanks                                                                                                                  solved                          go to solution","joy","negative"
"118","thanks again for the followupoctoshape wrotepatternsbyclaim wrotethe cursor does blinkflicker a bit when i movedrag it inside the skype window while typing at the same time could you verify this octoshapenbspmy cursor does not disappear while typing so i cannot verify this it is always blinking while typing as soon as it enters the skype windownbspanother thing i just realized now while testing for thiswhen the skype window is small there is no flickering of the text whatsoever after some fiddling around i realized that as soon as the window takes up roughly  of the whole screen it starts flickering all the way to maximized window size the blinking of the cursor is always present even when the text does not flicker and also with a smaller windownbspnbspnbspedit i guess a workaround for now would be to keep the skype window at a smaller sizenbspimportant note when snapping the window to the left or right edge of the screen in windows  suchnbspthat it only fills half the screen then the flickering of the text occurs even though its less than the mentioned  so snapping the window does make the flickering come back but if you position and resize the window yourself the flickering stops again unless its too bignbspcheershave you tried skypes split window view mode i always have that setting on because i need multiple chatboxes open in my daytoday worknbspthe flickering in skypes split window view seems a little less annoying small window snapped to leftright edge  but no big improvement at my end the flickering in skypes single window view occurs less small window snapped to leftright edge of desktopnbspnbspnbsp","anger","negative"
"121","hi therewhen i sign in on my android mobile with the same skype account that i use on my desktop computer skype removes all my nonskype contacts phone numbers from my contact lists also on my desktop they are still there in the list all but not associated with the other lists anymorethis is an absolute bummer since i have a skypeout subscription and therefore many nonskype contacts ie phone numbersis there any way i can tell skype on android not to touch the group associations of nonskype contacts i didnt find anything in the settings or can i just not use my desktop account on my mobilei am sorry if this is a repeat question but i didnt find such a topic in the forum and a search on google didnt turn up much either most people seem to be concerned about removing contacts rather than keeping them system details samsung galaxy a amafu android version  skype version  on android version  on desktopthanks for shedding some light on thisbernd","disgust","negative"
"122","ynette wrotenope because nobody cares to helpnbspyou are using the idt chipset which is the core of the problem nbspthe idt chipset drivers and associated software beats behaves in a rather odd manner that is in some cases reverse logic nbspsometimes in control panel  sounds nbspyou have to disable the headphones to get the headphones to work or the speakersnbspto get the speakers to work nbspother times the release of drivers are defective and buggy and nbspyou have to try a newer release to resolve the issue nbspif i actually owned a computernbspwith that chipset i could walk people through this reverse logic nbspthe community has some guidance from other users that own that type of hardware if nbspyou search around nbspi would recommend one or all of the followingnbsp nbsp try the following newer drivers they may be compatible nbspreset your local skype configuration when skype is completely closed nbspuninstall all your idt chipset software and try to use only the detected drivers that come with the osnbspuse a usb headset or purchase another sound card to replace the onboard idt if you are unable to find a configuration that works nbspunless there is a bug in the release of drivers you use you should find a configuration that worksnbsp","joy","negative"
"124","firstly is your mobile a smartphone if it is you should install the skype app and this will sync your skype account to the contacts in your smartphone and allow you to select outgoing calls via skype over wifi in europe which will be covered by your unlimited subscriptionnbspnext check your us mobile providers roaming charges for europe you will want to switch off data roaming and just use wifi where available in europe you need to buy a us skype number and set your us mobile to always divert to that us skype number before you leave the us you need to set the skype program on your pc to allow incoming calls from anyone and turn on voicemailnbspdont confuse a skype to go number with a skype in number they are different things your mom can call either your skype in or mobile number but not your sg numbertheres a couple of clips on youtube about avaoiding roaming charges and staying in contact with friends back home which are worth watching","disgust","positive"
"127","i am using skype desktop  on windows  i use skype for messaging to specific contacts and for occasional longdistance phone calls all was fine until recently now skype has started noticing that im not using social media esp facebook and keeps opening browser windows  it opens these sometimes several when the browser is open and idle if i have a browser iconised it may over time open quite a lot of these sometimes it opens them while i am using the browser actively so the window opens in my face like an annoying oldstyle browser popup in firefox the window is sparse but offers to connect to facebook if i open directly in ie  its more colourful but still only offers to connect to facebook i gather if i had a facebook account it would offer to disconnect i have tried all the options i can think of inside the desktop app and also in the loggedin skypecom webpage options i cannot find a no social media option how can i stop skype asking to connect to facebook  how can i tell it i do not use social media","anger","neutral"
"129","when i quit skype on my mac it does not make me offline it sets me as away if i quit the app im not away im offline to be sure of this ive checked all my other devices and im not running skype in any of them not my other computers not my iphone for the iphone i was sure to sign out and not just close the appnbspnoticing this problem i tried the following i have my wifes account open on one computer while i test from anothernbspon my mac version  set my status to offline gtgt no change to my status as seen on my wifes skype windowset my status to invisible gtgt no changeset my status to do not disturb gtgt changes to do not disturbset my status to away gtgt changes to awayset my status to online gtgt changes to onlineseeing that it was finally obeying my changes i tried to set my status to offline but still no changenbspi set to offline then signed out then quit the application then i decided to try it from my iphonenbspon my iphoneset my status to offline gtgt no change to my status as seen on my wifes skype windowset my status to invisible gtgt no changeset my status to do not disturb gtgt changes to do not disturbset my status to away gtgt changes to awayset my status to online gtgt changes to onlinenbspi signed out on my iphone i didnt just close the app i actually tapped on the sign out buttonguess what my wifes account shows me as the last status that was either online away or do not disturbnbspi signed into your new web skype and tried to change my status or log out that way didnt worknbspi even found a forum that said theres a chat command remotelogout that will sign you out of all your other instances of skype except the one youre on the post is here  i did that and then i signed out and still it doesnt worknbspi cannot sign out in any way shape or form i have tried every possible device and every possible login to change my status this is affecting me at work because my coworkers are getting upset when im not responding even though skype says im online all weekend on vacations all night etc i think that when i want to go offline i should actually be able to let my skype contacts know that i really am offlinenbspsorry im very frustrated ive been dealing with this for months so on the old version of the mac app as well this isnt going awaynbspi should be able to quit skype on my mac and be signed outofflinefor this form im submitting on this message board can someone also please tell me the difference between labels and message tags is there really enough of a difference and is it obvious to everyone else","joy","negative"
"134","hi claudiusnbsp der link  ließ sich erst nach dem x versuch endlich in deutscher sprache öffnenwas der laie wissen solltewenn der link im angemeldeten modus angeklickt wird öffnet er die englischsprachige seite jedenfalls war das mir andauernd passiert erst als ich mich vom system abgemeldet hatte und nur noch als gast zur seite kam funktionierte alles weitere wie am schnürrchennbspes öffneten sich nacheinander mehrere fenster von denen eines die option eines live chats bothier war es dann allerdings zunächst erforderlich quicktime  von apple mit all seinen plugins zu installieren ohne diese features kein livechatnbspeine freundliche dame namens katarina hat sich dann die mühe gemacht  den von mir beschriebenen fehlern auf den grund zu gehen anrufbeantworter funktioniert nicht mehrnbspwenn sie mir auch heute noch nichts definitives zur problemlösung sagen konnte die skypetechniker arbeiten anscheinend schon seit längerem an diesem problem so hat mir soviel persönliches engagement doch ganz gut getannbspich war nämlich schon drauf und dran anzunehmen dass die komplette firma skype nur aus einer hand voll mitarbeitern besteht während stumpfsinnige computer den ganzen rest übernehmen  theoretisch durchaus machbar  wenn einem nicht allein der gedanke daran schauer über den rücken jagen könntenbspnbsp","anger","negative"
"135","there is a sociologicalphilosophical issue here as when virtual monopoly corps reach a scale where they near ubiquitousness being cut off by them due to their own issues can be a serious detriment to ones life through no fault of ones own in many parts of the world access to the web is a human right cutting innocent people off permanently due to a combination of policy error and rd party criminal activity does seem outrageous at what point will it be a human right that corporations of a certain scale are required to make an attempt to redress genuine issues such as that raised in this thread also an inability to clear ones name implicitly denies any measure of justice likewise surely a lingering association with criminal activity conducted on ones account could not just cause a user potentially serious problems but could make security services inc skypes own job much harder by creating a far bigger pool of often innocent suspects in which criminals can better hide much harder to find the needle in a needlessly inflated haystack then there is the issue of undoing the damage if criminals make money by jacking accounts if you cannot access those accounts to rectify any issue surely the criminals keep can keep more of the money made or saved by using our accounts to comminicateconduct scams at almost no cost to them that in itself if something could be done but is not could be considered close to assisting crims at the expense of customers sec servs and indeed skype itself when good customers are injured by situations like this and forced against their will to other services  if consumers are fortunate enough to have an alternative service available at all otherwise they are just left disadvantaged to end on a constructive point skype please help us out here and lose the question about date account opened almost noone after a decade will be able to anwer that even to the right year without just guessing and a year would be so vague as to be useless as a sec q anyway seems that hackers would be more likely to be able to correctly answer that q than a longterm customer","joy","negative"
"140","nbspmy issuenbspwhen the skype client is installed on windows phone  voice messaging does not function in other words it keeps ringing after the elapsed configured time default of  secs and no voice mail message is presented to the callernbspdetailsnbspwhen a call is placed from a landline meaning not a skypetoskype callnbspto a my skype phone number windows phone correctly indicates an incoming skype call however if the call is unanswered then it simply keeps ringing and no voice mail message is presented if ignore is tapped on the phone then a busy signal is presented to the caller and so obviously no voice mail message in this case eithernbspif i turn off the phone or uninstall skype from the phone then voice messaging functions as expectednbspas of  apr  im running the most recent app version on windows phone  there doesnt appear to be a way to display the actual skype app versionnbspnumbernbspnbspskype is configured as followsto receive unanswered calls after  secstonbspstart recording a voice messagenbsp if i am already in a calltonbspstart recording a voice messagenbsp if i reject a callcall forwarding is not enablednbspso has anyone else experienced this is this normal operation or a known issuenbspfor my purposes this is a rather sizable incoveniencenbspthanks","disgust","negative"
"144","skype is crashing every time i try to message someone i can call and log in fine ie should be up to date flash is installed i have renamed my skype folder inside appdata i have reinstalled i have restarted my computer  nbsp  faulting application name skypeexe version  time stamp xbcfaulting module name skypeexe version  time stamp xbcexception code xcfault offset xffaulting process id xfaulting application start time xddcabfaulting application path cprogram files xskypephoneskypeexefaulting module path cprogram files xskypephoneskypeexereport id ecedfbaeb  nbsp  administrative events log  dxdialog is attached                                                                                                                  solved                          go to solution                                                                                                                  attachments                                                                            dxdiagzip  kb","unknown","negative"
"147","i have just read this set of posts i have to say that the advice posted from all of the community members is very poor the only one with any brains is the person having the problem none of you seem to have bothered to read about the actual problems and you are all quick on the draw with useless advice going around in circles one of you made a very stupid comment giving advice to the user to backup hisher computer and reinstall all programs this is either spiteful or just plain stupid i suspect the former and so i will be making a complaint and recommending that the poster of this spiteful and dangerous commentnbsp be removed from this communitynbspi am having the same problem today i have logged in but can only get my account i cant find anywhere how to crank up the actual skype application and make a call i am using windows  from my laptopnbspdoes anyone have some real advice and can it please be delivered in a non technonerd speak language setnbspmuch obligednbspbobnbspnbsp","surprise","negative"
"150","i followed the advice by rumimnbspinstall skype desktop version and login to this skypenbspthis puts a skype icon onto your desktop and the applicationnbsp can then be accessed by clicking and entering password and it goes to the application not to the account adminnbspwindows is rubbish and so is skype and eternal shame on microsoft for being such a hateful company with such poor products poor leadership and so many imbecile decision making executivesnbsp vista was a disaster  pulled back from the edge and then  was straight back to crapnbsp how many hundreds of people should be sacked for these disasters was anyone sackedhow annoying it is that whenever you go near skype the system is obsessed with trying to get you to use a microsoft accountnbsp i dont want onenbsp i dont want a windows phone i dont want to use bing microsoft is the single biggest source of technological misery in my life and the lives of hundreds of milliona of others i love my samsung phone with android i respect just about every apple product i think kindly towards google for all the ways it helps my lifenbsp i enjoy facebook for similar reasons twitter is a source of pleasure how so then could there be so much hate for microsoft and its products if only because this is a nasty and sinister organisation with crap products and run by idiotsnbsppsnbspthanks for the advice and sorry so sorry about the other posters on this thread who read like microsoft employees with their stupid and unhelpful advice about this stupid and unhelpful productnbsplots of love from monkeyboynbspnbsphappy will be the day when microsoft is brought low bankrupt bought out by the chinese broken up and sold into pieces rid the world of microsoft and the curse of monkey boy balmernbspamen","joy","negative"
"153","ive been using skype for a while now and it was fine back on versions before  since then ive been having issues and they just keep getting worse its gotten to the point where after leaving skype up for about  minutes it goes up to nearly gb ram usage and is locking one of my cpu cores at  usage about  of the timewhat the heck is it doing why should it need gb of memory for conversations that it doesnt even have loaded if they were loaded it wouldnt lock up when i click on a recent chatnbspit crashes every  minutes saying not enough storage to process this command and other errorsive read to not run it as admin but thats not possible for me due to my computer setup everything runs as admin whether or not i tell it to i was running into issues with other programs i commonly use not getting admin rights correctly so i have to force everything to run as admin now and its alot more convienent then having to remember to run as admin all the timeis there any actual fix when i use my patched  version of skype it works  fine no cpu usage ram never goes above mb all the conversations load instantly but i cant sendrecieve files properly and i cant screenshare however others can screenshare to menbspso using  all the time isnt an option unless someone can tell me some way to get screensharing workingfile sharing without having everyone switch to my version of skypenbsposwindows  ultimate xram gbhddtbskype version that crashes constantly                                                                                                                   solved                          go to solution","sadness","neutral"
"154","hello skype communitynbspjust to let you know that i am not a computernetwork newbienbspmy problem is that skype thinks that my internet connection is slow and reduces the video uploadsend speed to kb as a result sent video is very choppy interestingly i have another laptop almost exactly the same and the other laptop received and send high quality video and internet connection is shown as fast here is what i triednbsp forwarded relevant ports tried different ports enableddisabled upnp in advanced connection settings of the skype used skype via wired internet connection first through router then directly from cable modem internet speed via speedtestnet for both wireless and wired connections is at least mbps download and mbps upload connected the laptop to lte mobile internet and made the call same result uninstalledreinstalled skype tried latest or older versions cleaned up all registry settings now installed the latest version again made a video call using google hangouts  quality was great reset ie settings as per official skype advice obviously restarted win  bit few timesnbspnone of the above fixed the issue below is the copy from call statistics can anyone advise what can be the reson for skype on this particular laptop not recognizing fast internet connection thank younbspnbspbasicconversation objectidconversation identitystatuspremium statushostinvoloutvolparticipantcountbw avgsec upload kbpsbw avgsec download kbpsnbspidentityobjidcodecsilkvjittersample ratese dpacket loss send packet lossrecv packet lossroundtrip msnbmaudio    msnbsp video  corr sessionoutudp  packetssessioninudp  packetsrelaysudp statuslocalgood remotegoodcpu usage  hiccremote ui versionvideo captureres x color yuy fps  fpsslastreshist  hwenc  rot  senderid  autozoom video send stream  lres x codec h chp sliq sliqbitrate  fecbitrate  fps  rfps  cap  mtu  speed  thread  face   lle  cpuctrl  senderid  streamid  mediatype  sliqavgbr  sliqavgtarbr fecavgbr  fecavgtarbr bwu   timesincelastres  p  encload  fpsslastreshist  randomizers video recvresxnbsp codec h chp sliqbitrate  fecbitrate  fps  cap  mtu  receiverid  streamid  mediatype  avgsliqbitrate  avgfecbitrate  lastres  fpsslastreshis statusproblemsvideo debug  media   status   error nbspidentitystatusproblemsvideo debug  media   status   error ","anger","negative"
